GameID,AchievementID,Name,Description
82,1,First Victory #1,Complete a mission without taking damage.
82,2,First Victory #2,Find all hidden items in the game.
82,3,Unstoppable #3,Complete a mission without taking damage.
82,4,Completionist #4,Complete the main story of Grand Theft Auto V.
82,5,Speed Runner #5,Beat the secret boss.
82,6,Explorer #6,Achieve top rank in a Action mode.
82,7,First Victory #7,Play the game for 100 hours.
82,8,First Victory #8,Unlock all characters.
82,9,Action Champion #9,Beat the secret boss.
82,10,Secret Finder #10,Achieve top rank in a Action mode.
82,11,Action Champion #11,Complete a mission without taking damage.
82,12,Secret Finder #12,Unlock all characters.
82,13,Unstoppable #13,Complete the main story of Grand Theft Auto V.
82,14,Completionist #14,Beat the secret boss.
82,15,Survivor #15,Collect all collectibles.
82,16,First Victory #16,Play the game for 100 hours.
82,17,Explorer #17,Unlock all characters.
82,18,Grand Theft Auto V Master #1,Beat the secret boss.
82,19,Action Champion #2,Finish the game on hard difficulty.
82,20,First Victory #3,Find all hidden items in the game.
82,21,Unstoppable #4,Find all hidden items in the game.
82,22,Grand Theft Auto V Master #5,Complete the main story of Grand Theft Auto V.
82,23,Unstoppable #6,Win your first challenge.
82,24,Action Champion #7,Finish the game on hard difficulty.
82,25,Action Champion #8,Unlock all characters.
82,26,Secret Finder #9,Find all hidden items in the game.
82,27,Completionist #10,Beat the secret boss.
82,28,Speed Runner #11,Finish the game on hard difficulty.
84,29,Survivor #1,Unlock all characters.
84,30,First Victory #2,Play the game for 100 hours.
84,31,Grand Theft Auto: Vice City Master #3,Beat the secret boss.
84,32,Explorer #4,Beat the secret boss.
84,33,Completionist #5,Win your first challenge.
84,34,Survivor #6,Play the game for 100 hours.
84,35,Secret Finder #7,Complete a mission without taking damage.
84,36,Speed Runner #8,Find all hidden items in the game.
84,37,Explorer #9,Win your first challenge.
84,38,Action Champion #10,Complete a mission without taking damage.
84,39,Survivor #11,Achieve top rank in a Action mode.
84,40,Secret Finder #12,Play the game for 100 hours.
84,41,Explorer #13,Unlock all characters.
82,42,Completionist #1,Unlock all characters.
82,43,Explorer #2,Unlock all characters.
82,44,Unstoppable #3,Beat the secret boss.
82,45,Grand Theft Auto V Master #4,Collect all collectibles.
82,46,Survivor #5,Complete a mission without taking damage.
82,47,First Victory #6,Complete the main story of Grand Theft Auto V.
82,48,Grand Theft Auto V Master #7,Find all hidden items in the game.
82,49,Secret Finder #8,Win your first challenge.
82,50,Survivor #9,Finish the game on hard difficulty.
82,51,Action Champion #10,Find all hidden items in the game.
82,52,Explorer #11,Collect all collectibles.
82,53,First Victory #12,Play the game for 100 hours.
82,54,Completionist #13,Complete a mission without taking damage.
82,55,Survivor #14,Win your first challenge.
82,56,Unstoppable #15,Win your first challenge.
82,57,Unstoppable #16,Win your first challenge.
82,58,Legend Begins #17,Achieve top rank in a Action mode.
82,59,Survivor #18,Finish the game on hard difficulty.
25,60,Secret Finder #1,Collect all collectibles.
25,61,Speed Runner #2,Complete a mission without taking damage.
25,62,Legend Begins #3,Finish the game on hard difficulty.
25,63,Explorer #4,Complete a mission without taking damage.
25,64,Shooter Champion #5,Complete the main story of Call of Duty: Black Ops 3.
25,65,Call of Duty: Black Ops 3 Master #6,Complete a mission without taking damage.
25,66,Unstoppable #7,Achieve top rank in a Shooter mode.
