GameID,Name,Genre,ReleaseDate,Description,LanguageSupport,UnitsSold,Tags,RequireAge
1,007: Tomorrow Never Dies,Shooter,1999-11-16,"In '007: Tomorrow Never Dies', step into the shoes of James Bond and embark on dangerous missions to save the world from a megalomaniacal media mogul. Master stealth, combat, and gadgets in this action-packed shooter game filled with intense gunfights and thrilling espionage missions.","Chinese, French, German, Korean",92,"Sci-Fi, Survival, Tactical, Crafting, Platformer",16
2,Assassin's Creed,Action,2007-11-13,"Assassin's Creed is an action-adventure game where players take on the role of a skilled assassin in various historical settings. Utilize stealth, parkour, and combat skills to complete missions and unravel a mysterious conspiracy.","English, German, Korean, Spanish",305,"Casual, Strategy, Multiplayer, Adventure, Exploration",10
3,Assassin's Creed II,Action,2009-11-17,"Assassin's Creed II is a thrilling action-adventure game set in Renaissance Italy. Play as Ezio Auditore, a young nobleman seeking revenge for his family's betrayal. Explore historical cities, master parkour and combat skills, and uncover a conspiracy that will change the course of history.","Chinese, English, Korean, Spanish",206,"Turn-based Combat, Realistic, First-Person Shooter, Relaxing, Car Simulation",10
4,Assassin's Creed III,Action-Adventure,2012-10-30,"Assassin's Creed III follows the journey of Connor, a Native American assassin fighting for freedom during the American Revolution. Explore a vast open-world set in Colonial America, engaging in intense combat, parkour, and stealth missions to uncover the secrets of the Templars and shape the course of history.","Chinese, English, French, German, Japanese, Korean, Spanish",161,"Co-op, Multiple Endings, Fantasy, Choices Matter, Casual",10
5,Assassin's Creed IV: Black Flag,Action-Adventure,2013-10-29,"Sail the high seas as pirate and assassin Edward Kenway in Assassin's Creed IV: Black Flag. Engage in epic naval battles, explore exotic islands, and uncover the secrets of the Caribbean in this thrilling open-world adventure.","Chinese, English, German",101,"Tactical, Turn-based Combat, Third-Person",0
6,Assassin's Creed Odyssey,Action-Adventure,2018-10-5,"Embark on a thrilling journey through ancient Greece as a skilled assassin in Assassin's Creed Odyssey. Choose your path as you navigate political intrigue, epic battles, and mythological creatures. Uncover the secrets of your lineage and shape the fate of a nation in this open-world adventure.","English, French",80,"Sandbox, Realistic, Fantasy, Platformer, Adventure",16
7,Assassin's Creed Origins,Action,2017-10-27,"Embark on a journey through ancient Egypt as Bayek, a skilled assassin seeking revenge against those who threaten his family. Explore a vast open world, engage in intense combat, and unravel a gripping tale of betrayal and power in Assassin's Creed Origins.","German, Japanese",165,"Choices Matter, Survival, Family Friendly, Car Simulation",16
8,Assassin's Creed Syndicate,Action,2015-10-23,"Assassin's Creed Syndicate is set in Victorian-era London, where players control twin assassins Jacob and Evie Frye as they fight to liberate the city from the oppressive Templar rule. Engage in stealthy assassinations, epic combat, and thrilling parkour across the city's iconic landmarks.","English, Japanese",396,"Horror, Family Friendly, Crafting, Roguelike, Strategy",18
9,Assassin's Creed: Brotherhood,Action,2010-11-16,"Assassin's Creed: Brotherhood is an action-packed game where players take on the role of Ezio Auditore, a skilled assassin in Renaissance Italy. Players must lead their own brotherhood, building alliances and taking down enemies in an epic battle for power and control.","Chinese, French, German",257,"Racing, Puzzle, First-Person Shooter",0
10,Assassin's Creed: Revelations,Action,2011-11-15,"Join Ezio Auditore in his final journey as he travels to Constantinople to uncover the secrets of the Assassins and Templars. Master new combat techniques, explore a vibrant open world, and unravel a gripping story filled with twists and turns in Assassin's Creed: Revelations.","English, French, Japanese",86,"Action RPG, Strategy, Horror, Car Simulation, Sandbox",0
11,Assassin's Creed: Unity,Action,2014-11-11,"Join the Brotherhood in Assassin's Creed: Unity and navigate the chaos of the French Revolution. Play as Arno Dorian, a skilled Assassin, as you uncover conspiracies, fight against corruption, and explore the stunning streets of Paris. Master parkour, combat, and stealth to become the ultimate Assassin.","Chinese, English, French, Korean",83,"Story Rich, Platformer, Visual Novel, Open World, Roguelike",16
12,Asteroids,Shooter,1981-1-1,"Blast through space debris in Asteroids, a fast-paced shooter game. Maneuver your spaceship to avoid collisions with asteroids and enemy ships, while collecting power-ups to upgrade your weapons. Survive as long as you can in this thrilling arcade-style game.","English, French, German",300,"Platformer, Sandbox, Puzzle, Co-op",18
13,Batman: Arkham Asylum,Action,2009-8-25,"In Batman: Arkham Asylum, players take on the role of the Dark Knight as he battles his way through Arkham Asylum to stop the Joker's sinister plot. With intense combat, stealth gameplay, and iconic villains, this action-packed game offers a thrilling Batman experience.","Chinese, English, German, Japanese",190,"Strategy, Adventure, Action RPG, Survival, Realistic",16
14,Batman: Arkham City,Action,2011-10-18,"Become the Dark Knight in Batman: Arkham City, as you navigate a vast open-world Gotham City filled with iconic villains. Use Batman's combat skills, gadgets, and detective abilities to take down enemies and solve puzzles in this critically acclaimed action-adventure game.","English, Japanese",205,"Puzzle, Survival, Tactical",16
15,Batman: Arkham Knight,Action,2015-6-23,"In Batman: Arkham Knight, players take on the role of the Dark Knight as he faces his ultimate challenge in Gotham City. With a new villain threatening the city, Batman must use his combat skills, gadgets, and detective abilities to save the day and defeat the enemy.","English, Japanese",121,"Survival, Puzzle, Multiplayer, Crafting",0
16,Battlefield 1,Shooter,2016-10-21,"Battlefield 1 is a first-person shooter game set in World War I, offering intense multiplayer battles with up to 64 players and a gripping single-player campaign following various characters through the chaos of war. Experience the brutality and scale of historic battles in stunning detail.","Chinese, English, French, German, Japanese, Spanish",661,"Turn-based Combat, Strategy, Survival, Exploration, Co-op",0
17,Battlefield 3,Shooter,2011-10-25,"Battlefield 3 is a fast-paced first-person shooter game set in various war zones around the world. Players can choose from a variety of military classes and vehicles to engage in intense multiplayer battles. With realistic graphics and dynamic gameplay, the fight for victory is relentless.","English, Japanese",629,"Adventure, Realistic, Multiple Endings, Roguelike, Racing",0
18,Battlefield 4,Shooter,2013-11-15,Battlefield 4 is a fast-paced first-person shooter game where players engage in large-scale warfare across dynamic environments. Choose from a variety of weapons and vehicles to dominate the battlefield and work strategically with your team to achieve victory.,"Chinese, English, French, German, Japanese",94,"Roguelike, First-Person Shooter, Third-Person, Casual, Relaxing",0
19,Battlefield: Bad Company 2,Shooter,2010-3-2,Battlefield: Bad Company 2 is a fast-paced shooter game where players engage in intense multiplayer battles across various war-torn environments. Choose from a variety of weapons and vehicles to strategically outmaneuver and defeat your opponents.,"English, German, Japanese, Spanish",345,"Family Friendly, Strategy, Racing",0
20,Borderlands,Shooter,2009-10-20,"Borderlands is a fast-paced shooter game set in a post-apocalyptic world filled with unique characters, intense combat, and a vast open world to explore. Players can customize their character, team up with friends, and take on hordes of enemies and powerful bosses to uncover hidden treasures and secrets.","Chinese, French, German, Spanish",79,"Realistic, Sci-Fi, Multiplayer",0
21,Borderlands 2,Shooter,2013-1-15,"""Borderlands 2"" is a fast-paced shooter game set in a post-apocalyptic world filled with bandits and dangerous creatures. Players can choose from a variety of characters and weapons as they embark on a mission to defeat the tyrannical Handsome Jack and restore peace to the planet Pandora.","English, French, German, Spanish",100,"First-Person Shooter, Open World, Family Friendly, Puzzle",0
22,Call of Duty 4: Modern Warfare,Shooter,2007-11-5,"""Call of Duty 4: Modern Warfare is a fast-paced first-person shooter game set in a modern-day conflict. Players can experience intense multiplayer battles and a gripping single-player campaign, featuring realistic graphics and engaging gameplay mechanics.""","Chinese, German, Japanese",462,"Tactical, Turn-based Combat, Visual Novel, Open World, Family Friendly",16
23,Call of Duty: Advanced Warfare,Shooter,2014-11-4,"Call of Duty: Advanced Warfare is a fast-paced shooter game set in a future world where players must navigate high-tech weapons and advanced combat tactics to defeat enemies. With thrilling multiplayer modes and a gripping single-player campaign, players are immersed in an intense and immersive gaming experience.","English, German, Korean, Spanish",239,"Sandbox, Roguelike, Fantasy, Tactical",10
24,Call of Duty: Black Ops,Shooter,2010-11-9,"""Call of Duty: Black Ops is a fast-paced first-person shooter game set during the Cold War era. Players embark on intense missions as part of an elite team, battling enemies across various global locations. With realistic graphics and immersive gameplay, this game offers an adrenaline-pumping experience.""","English, French, German, Japanese, Korean",324,"Horror, Fantasy, Choices Matter, Sci-Fi, Co-op",10
25,Call of Duty: Black Ops 3,Shooter,2015-11-6,"""Call of Duty: Black Ops 3 is a fast-paced first-person shooter game set in a futuristic world. Players can customize their soldiers with advanced weaponry and abilities, engaging in intense multiplayer battles and a gripping single-player campaign filled with adrenaline-pumping action.""","Chinese, German, Japanese, Spanish",639,"Horror, Survival, Co-op, First-Person Shooter, Third-Person",0
26,Call of Duty: Black Ops II,Shooter,2012-11-13,"In Call of Duty: Black Ops II, players dive into a futuristic war setting with advanced weaponry and technology. Engage in intense multiplayer battles or follow a gripping single-player campaign that weaves together multiple storylines and decisions that impact the outcome of the game.","English, French, Japanese, Korean, Spanish",342,"Relaxing, Horror, Family Friendly, Strategy",18
27,Call of Duty: Black Ops IIII,Shooter,2018-10-12,"Engage in intense multiplayer combat and tactical gameplay in Call of Duty: Black Ops IIII. Choose from a variety of specialists with unique abilities and weapons, and work with your team to dominate the battlefield in this fast-paced shooter game.","English, Japanese",202,"Horror, Crafting, Racing",10
