PlayerID,GameID,AchievementID,GainTime
1,107,6749,2019/10/7
1,105,7253,2021/11/24
1,24,6711,2026/1/12
1,202,8363,2021/7/9
1,60,4632,2023/8/1
1,50,2736,2016/11/15
1,100,7501,2023/1/6
1,23,7706,2022/10/7
1,181,9008,2023/5/12
1,18,2527,2021/2/14
1,54,3261,2024/9/11
2,142,6373,2021/3/30
2,203,1538,2021/1/26
2,140,8147,2021/12/2
2,59,7718,2021/12/27
2,169,5406,2022/11/25
2,83,5223,2024/10/12
3,5,9999,2019/8/23
3,145,9387,2019/1/2
3,97,4192,2017/3/10
3,12,1580,2017/4/18
3,137,7868,2024/10/26
3,46,7748,2022/4/16
3,41,3009,2020/11/2
3,191,2925,2020/11/24
3,23,5339,2020/10/23
3,60,8904,2024/8/29
3,33,3013,2020/1/16
3,28,4008,2020/12/28
3,65,6276,2018/1/9
3,47,8057,2026/3/9
4,206,3271,2021/2/2
4,86,2538,2020/1/4
4,62,7207,2019/12/4
4,35,2838,2023/10/8
4,152,2310,2022/4/30
4,31,7884,2019/5/6
4,198,1889,2021/1/14
4,101,8081,2020/9/13
4,116,2795,2020/11/7
4,26,1119,2024/8/16
5,34,1103,2021/12/19
5,122,1847,2018/11/1
5,19,1932,2022/6/14
5,167,4333,2021/2/14
5,159,7838,2022/9/6
5,25,5640,2021/3/30
6,186,7060,2023/9/2
6,8,4412,2018/4/20
6,173,8125,2024/4/10
6,125,1433,2025/7/27
6,181,1286,2023/7/16
6,26,7917,2022/8/6
7,125,9427,2020/11/19
7,46,6793,2021/10/6
7,29,7876,2020/2/24
7,5,5382,2020/11/22
7,146,3316,2020/12/9
7,18,3258,2022/12/4
7,102,7219,2019/12/24
7,177,9240,2025/9/24
7,69,6783,2024/4/17
8,188,6223,2019/11/27
8,83,5263,2023/10/20
8,166,9108,2022/5/30
8,101,3463,2019/6/5
8,198,1371,2022/7/10
8,134,4850,2023/9/8
8,111,1992,2018/6/7
8,59,5129,2023/3/8
8,163,7213,2022/10/29
8,105,7839,2022/11/10
8,16,7712,2019/12/21
8,69,7144,2024/8/6
8,40,8425,2021/7/12
9,150,1665,2023/11/23
9,129,2505,2021/1/25
9,139,3904,2025/7/2
9,67,5413,2026/5/6
9,108,8414,2021/1/13
9,170,1432,2018/11/23
9,199,9541,2025/10/2
9,22,4192,2024/4/30
9,114,2601,2020/6/10
9,34,5176,2023/1/22
9,11,2925,2021/12/22
9,163,8003,2021/11/14
9,48,4759,2021/6/19
9,79,9153,2019/4/29
10,28,5781,2020/12/7
10,168,4646,2017/5/25
10,48,4794,2023/3/3
10,16,9958,2019/8/5
10,163,6656,2022/12/22
10,11,7737,2021/6/4
11,146,2876,2019/9/22
11,74,8289,2018/11/23
11,176,9976,2022/7/23
11,75,9151,2022/7/19
11,166,7373,2023/2/26
11,49,4879,2020/10/31
11,106,2873,2020/12/18
11,166,5095,2021/3/3
11,67,3686,2027/1/10
11,203,6083,2021/7/25
11,54,9107,2024/5/5
11,25,1873,2022/3/21
11,32,4435,2021/3/4
12,117,9699,2021/4/21
12,179,7333,2021/2/9
12,28,5897,2025/2/25
12,2,8376,2019/5/5
12,164,1019,2019/9/4
12,125,2567,2025/10/16
12,57,7467,2022/12/15
12,10,2978,2026/2/13
12,82,3232,2025/3/7
13,45,1069,2023/10/19
13,57,4124,2022/12/29
13,65,4254,2020/9/29
13,146,3557,2020/9/12
13,10,1783,2020/12/21
13,159,6168,2021/9/16
14,42,3125,2021/12/2
14,96,7502,2021/8/21
14,38,8225,2020/11/28
14,165,6955,2022/5/21
14,2,7340,2019/5/23
15,25,3766,2022/11/12
15,88,5506,2025/5/27
15,8,5061,2019/7/4
15,110,1160,2021/4/16
15,31,7391,2019/7/11
15,61,2990,2019/3/11
15,5,3624,2023/1/1
15,175,2009,2018/10/22
15,67,7301,2024/12/31
15,127,6881,2020/5/30
16,181,5676,2024/2/21
16,10,2435,2020/5/30
16,153,2962,2022/5/23
16,111,3637,2019/2/13
16,160,7860,2023/1/17
17,46,3403,2021/4/1
17,13,4954,2019/8/26
17,11,4450,2019/4/28
17,68,7003,2024/2/3
17,124,9601,2024/4/14
17,126,5751,2018/6/7
17,103,2144,2024/7/19
17,49,5322,2020/6/19
17,205,3773,2024/1/31
17,117,4280,2022/5/18
17,118,5245,2022/9/18
18,87,7924,2020/3/9
18,142,7299,2020/1/4
18,29,9825,2017/12/9
18,67,8404,2024/1/17
18,110,5372,2020/6/20
18,4,3158,2021/3/21
18,114,2692,2018/2/21
18,171,5893,2018/10/15
18,184,5381,2018/8/2
18,50,6978,2016/10/16
18,178,7561,2021/9/30
18,105,4199,2023/12/29
18,38,3750,2019/11/23
18,16,2171,2018/3/16
18,71,5570,2023/2/5
19,159,6852,2020/12/22
19,80,5114,2024/7/30
19,146,8779,2020/9/22
